Income,INC110213,Poverty
27348,47439,15.4
26196,46369,23.2
18304,34348,23.7
16266,39681,24.1
15538,33833,22.5
27322,47876,15.1
21992,39453,18.1
34057,49846,13
23174,43100,19.9
33974,53607,13.5
28926,55315,12.6
28600,54684,13.4
17787,34570,26.9
24877,47581,17
19007,43891,17.9
32858,52432,14.5
23736,43888,13.9
29262,45535,14.1
21285,43113,18.2
18377,32497,26.4
26861,57703,12.3
32313,49052,12.2
28675,58175,11.3
36836,64876,9.6
23285,43413,18.4
27504,48493,12
18431,35698,23.6
17045,36356,16.7
13590,42660,19.6
23973,42457,16.8
21797,52691,14.4
25845,43640,17.9
17385,38501,20.1
19643,36786,22.9
15958,30049,32.2
18558,33757,19
17019,27353,31.8
18622,32751,30
20231,41141,16.7
21379,53274,13.7
21022,47197,17.1
14204,28547,38.1
16784,32258,22.5
20982,37550,24.9
20156,36073,23.3
16938,36070,21.9
19409,34419,24
27556,64707,11.7
18587,35840,31.3
16171,31494,33.5
20363,49754,14.5
14868,26986,38.7
22701,51990,15.5
17974,35070,25.9
21227,46147,18.9
21690,47087,13.9
17102,40111,19.7
25093,45794,19.1
20042,48758,11.9
16045,33228,24
29615,67261,9.8
19295,33060,36.7
12982,21192,44.5
17950,40606,24
17815,30345,29.1
33069,63920,12.8
17031,35693,24.3
17025,32484,26.7
30949,69306,8.3
18592,34985,23.1
26757,60813,12.7
20556,41586,20.6
18185,35240,31.2
21690,43205,15.9
27330,53525,15.6
18059,30619,27.1
28810,50856,19
18114,37292,19.8
14510,29012,29
18619,31671,31.2
23626,52691,16.1
17579,28853,31.6
15861,31375,31.3
24824,63030,11.2
18835,35817,20.4
17064,32046,29.4
18998,36788,27.9
19164,34239,23
35344,79977,7.7
20500,40821,21
34582,86569,7.6
18234,34830,18.9
36757,56857,17.6
21317,39140,21.7
17984,37760,21.4
26724,46407,19.2
19177,40926,21
15734,30571,30.1
27828,42565,22.3
25932,60445,13.9
18910,39306,20.8
23645,50853,18.7
12381,25000,30.6
19789,39993,22.8
31482,69223,8
20371,35615,25.4
18964,39909,24.3
25299,60781,11.2
25195,54893,15.2
18207,40771,21.2
23247,53179,15.9
21297,42192,21.7
17684,36296,24.5
14757,26968,31.5
17565,26104,29.4
16807,36722,22.8
24485,51497,16.6
18800,41016,18.9
17264,39452,26.7
18625,34793,24.7
26357,60104,11.2
20791,43832,18.7
20641,35625,26.5
17158,42651,19.2
18897,37365,24.3
20908,43775,18.1
13865,30240,29.4
19939,42549,17.9
17479,33301,20.5
17922,37487,22.2
21484,39068,14.9
18821,37333,21.1
19674,32260,23
15694,32054,26.2
22888,48630,12.9
16460,32702,24.5
25933,47729,15.4
16449,34888,22.4
22856,41339,19.6
21484,50580,15.2
33801,75004,9.3
20493,45729,16.4
24168,61837,11.4
19431,39844,24.6
26686,51383,11.9
20001,39067,20.5
22191,53865,11.2
18336,39208,23.4
17781,41550,15.7
26321,44764,14
14201,31068,26.4
22260,35423,21.5
18094,30023,25.4
20526,37749,25.1
23461,52579,14.7
