Income,INC110213,Poverty
16404,32130,22.6
17990,31304,25.6
24742,48857,12.5
21830,41392,14.8
20534,39192,17.2
23520,40337,18.7
19527,37964,15.8
19468,37739,16.3
22394,39839,18.1
17361,29325,21.6
24127,42979,12.3
21598,42747,18.2
17416,32533,23.8
19101,36387,23.7
26062,47015,17.4
21124,40399,18.4
24792,54845,11.3
21547,47223,17.6
20946,34481,26.3
19553,39013,19.7
23637,50527,9.5
19060,39334,18.6
19317,42071,15
22063,52835,13.6
21015,38250,15.1
21011,40116,17.8
20054,38443,16.2
17316,35870,21.4
22026,42566,16.7
21909,42046,16.2
17505,37997,21.8
20178,40272,20.3
19385,35507,20.9
15558,29787,26.9
19451,47118,11.4
20331,40657,14.7
20991,40236,17.5
17935,34797,23.4
21215,35793,21.7
22341,42268,15
18079,36641,28.4
16331,27743,27.7
22629,51408,8.7
17215,32078,20
16881,28889,29.3
23435,47876,12
19709,38580,18.4
21173,41964,18.1
18650,39850,15.1
35143,67721,7.4
19511,39512,23.6
20863,49820,12.8
19397,36713,18.8
23299,47969,9.9
17587,37203,19.4
24549,52698,11.6
18449,34496,24.4
16408,32291,24.6
19006,39519,18.6
18160,34688,24
20363,39028,18.2
20825,40651,19.1
16862,31132,25.2
19331,35938,18.4
31586,71077,5.8
17337,31539,21.8
18544,37238,19.4
34795,58910,10.9
23048,34582,27.4
22921,48433,11.9
22967,37965,15
21733,40850,17.1
19279,36676,17
20231,38461,18.8
17868,36082,21.4
19734,38679,21
24692,50830,13.4
17703,34702,23.4
18970,33159,21.9
19955,44596,18.9
22967,39348,13.2
14752,28645,27.5
17544,27381,28.4
19145,33600,20.8
16977,30750,25.7
18422,31641,27.7
18597,31060,24.1
16462,28599,34.3
17034,30000,23.7
16897,31039,24.4
16677,31061,25.3
17145,29876,24.1
12177,23689,33.1
18066,31362,23.4
18273,30764,26.4
15742,26407,38.2
18318,35421,26.3
17241,33381,29.9
25176,58505,9.8
19736,36726,27.6
24234,32372,23
20217,43958,18.6
14463,36888,18.2
21084,34129,21.9
22621,44522,18.7
22677,43124,19.9
20448,37626,25.3
12113,22325,43.5
12874,23600,44.9
13731,24767,32.5
18106,36073,15.7
23879,48943,15.9
18075,31170,22.1
12723,26028,40
16216,27186,27
19519,38074,23
13795,29003,33.3
21388,43328,25.6
26345,51154,17.4
21346,36203,24.1
20655,38393,18.8
16780,32521,27.7
21799,42074,18.3
14307,24480,40.4
19566,36498,23.5
20951,37868,25.4
33170,59904,12.7
18126,29400,28.2
17978,36022,22.2
18167,36308,21.6
15523,30466,31.1
18693,37050,24.1
18864,39190,18.6
12780,24338,34.6
20202,30987,33.7
18073,35715,25.3
20549,42510,22.2
17183,36124,21
18183,34841,27.5
18576,39899,14
16589,32503,24.2
13954,22863,40.7
26897,57380,11.5
16789,34534,24.7
15744,35125,31.2
18314,38362,22.6
20334,34753,23.6
18576,42963,18
12588,26619,36.1
12747,29853,30.2
20431,41494,18.5
18493,34636,25.5
18338,32592,17.6
15549,31446,30.3
19273,38373,23.5
16850,31090,25.3
22362,41025,24.4
16671,28093,37.3
18928,29925,28.4
18728,33524,24.9
18717,33618,27.8
18501,30821,29.8
18750,32930,22.2
14291,26336,35.5
22872,41614,15.1
15695,39966,25.5
17437,37151,28.8
24270,45932,10.5
27599,47831,11.1
24921,39659,13.7
24727,44963,14.9
21737,40070,21.7
23910,43524,13.3
31449,46100,10.1
26126,50405,16
22052,38958,20.5
28563,51164,5.9
24429,38344,13.8
25790,46581,14.2
28939,52833,14.1
25921,45096,10.5
15604,33519,33.7
23508,39313,20.7
26277,45236,15.1
21376,43726,18.9
30397,60863,7.8
24260,41932,12.4
21521,38019,22.4
28400,56243,10.4
25522,44493,21
21719,33333,17.9
33062,47762,8.7
27161,46667,7.4
20288,38182,13.6
19859,33033,18.4
25764,46117,16.5
23022,43409,13
24611,42426,12.3
22714,41705,11.1
22890,42632,14
22256,41277,17.5
28528,46250,9.2
19736,40802,15.3
20644,38036,21.5
22872,38688,16.8
32036,58112,14.2
16888,36920,26.6
22229,48789,17.3
19188,32881,22
31378,48667,11.8
23562,38659,19.1
28868,57906,7.8
22743,45938,13.5
22799,43327,15.1
23162,46972,16.3
23948,37105,11.3
25685,47181,13.5
17336,31867,11.2
27492,41875,13.3
27761,51342,12.3
23166,43043,18.3
20440,40637,17.2
19510,35170,19.8
16752,33870,24.2
20838,35951,21.1
21598,36969,18
21636,40429,21
17096,30768,23.4
19154,30164,25.8
26839,46438,16.6
26159,44713,17.1
19701,37263,20
25247,53551,13.2
19228,34357,19.5
25620,56607,6
27496,46534,14.4
17975,35315,22.6
23232,44332,15.2
31175,57091,12.4
18340,34432,17.9
19240,34420,29
22081,38828,24.3
20062,38989,19.3
19275,35761,25
24260,47141,16.6
23067,45231,17
25854,57159,9.8
30529,55481,8.8
22549,43083,16.3
26319,50139,13.4
17122,34433,26.3
29347,51853,18.5
16971,33960,25.2
26541,45724,18.6
21399,41696,16.1
22658,42017,17.9
21187,46592,19.6
19780,33903,21.1
22295,49852,15.4
18441,40853,23.3
26461,45431,18.1
17937,32329,27.4
20310,44625,17.2
24536,41557,16.6
25670,44815,14.1
17863,33406,26
18761,45489,22.9
18408,42279,25.6
26467,50329,13.8
21014,36951,21.8
22410,49711,17.2
20105,36213,16.7
21449,44819,18.9
19760,35770,23.7
25550,48940,15.6
23213,37892,21.3
19902,38598,17.3
18783,35111,23.2
18932,35297,21.9
32482,55444,15.4
21404,37680,18.3
18865,31830,25.6
28913,49544,15.6
22880,43084,17
29679,49835,16.9
17919,31433,26.3
21084,45450,15.2
34465,55569,17.8
23724,43853,13.8
22745,46053,18.4
23526,44524,19.3
23809,43709,20.2
21292,42317,18
23029,40718,24.3
24611,44745,16.7
20523,41208,17.8
17236,32384,25.9
15343,29806,31.7
21102,38567,17.9
20912,41495,18.8
19551,36334,21.5
19479,36496,22.8
15679,29592,32.3
20504,42518,16.1
21311,42703,15.8
20219,35641,19.9
19626,36094,27.2
23757,41781,14.3
16658,34216,20.8
28894,65892,9.4
17905,34987,28
33166,66006,11
19052,34285,26.2
18779,34936,23.7
21854,34293,31.3
21557,41731,22.1
19029,33159,22.7
20972,39204,23.2
22726,40371,18.5
20257,38579,20.1
31502,47798,9.9
31721,50274,9.3
18162,36491,35.8
37972,57083,8.4
31969,51667,11
32045,56964,8.2
32908,53693,12.4
32876,61811,8.2
30529,52590,13
32028,55904,4.9
24644,47359,9.7
36303,55057,8.4
33788,60500,10.1
27323,44250,13.8
27690,38477,14.9
33063,50677,11.1
26113,36100,12.4
27026,46745,16
28129,41694,14.2
27197,45542,7
27910,47743,10.7
28904,50000,10.4
31989,53691,8.7
27887,49076,10.1
28331,45343,14.2
25427,36066,13.8
33078,64866,13.8
30992,53565,10.9
31767,66534,7.3
29389,60065,8.5
33803,68722,12.3
30432,49839,7.7
32253,71250,7.4
27817,49846,8.7
23491,42975,14.3
28081,48604,12.1
26137,49788,9.5
31178,60847,7
27713,53759,11.8
15502,31336,36
29950,53381,7.4
29219,43250,13.7
15478,36111,40.5
30586,61667,8.9
31412,62559,7.6
31455,55735,6.2
27351,50120,12
33357,55521,7.5
27098,48767,10.7
29072,48592,10.6
28557,56580,9.1
29301,44132,8.9
38738,76210,8.6
25571,49440,12.8
25186,43518,11
17656,40568,6.9
25814,36875,15.4
19141,42917,17.7
25590,45246,9.7
25046,46373,23.9
23157,41279,10.5
21843,33647,15.6
24830,50963,13.6
25203,46817,9.7
27673,50247,9.4
29638,64697,6.4
25738,48038,10.1
28241,45610,12.8
25213,45464,13
28296,51529,14
23876,46784,9
23751,51765,15.5
24496,47500,11.6
24615,44873,9.6
20179,47069,16.9
21137,40359,19.3
20142,46078,14.8
27199,44922,13.5
23769,47325,11.2
24588,48626,10.7
29180,53325,14.3
28502,47431,8.1
25460,48464,8.8
26095,43011,12.9
25262,50227,12
22068,39603,16.2
24555,47654,11.7
26715,39400,9.4
22092,41892,13
23266,45893,8
19968,44167,18.8
23833,44950,12.1
23380,48712,13.7
26715,56065,10.1
25322,45920,12.1
23749,49125,5.9
23554,39702,15.5
24120,44427,10.2
20737,39327,12.8
26770,49088,10.3
24777,44843,13.6
19435,42364,13.7
27796,56466,4.9
25097,41970,11.2
25251,36923,15.5
24565,42180,13
25214,42230,14
27141,51574,15.2
26188,48158,11.4
22799,44417,12.1
21499,38125,25.8
24593,46566,14.2
25339,54926,13.6
24639,50859,12.6
22543,43886,13.8
23684,44286,12.6
25269,42672,10.4
22448,37594,11.1
25855,50881,10.5
25426,37321,21.5
27931,58625,5.8
26856,50000,9.1
24830,51924,5.6
24219,51213,10.7
27639,52848,8.3
23320,42345,12.7
23566,38582,17.2
24501,43500,10
20407,44109,16.8
30189,69965,6.6
30039,59870,8
23220,43444,13.7
28359,59435,8.8
22551,38548,16
24837,41835,13.5
31517,42014,9.3
23131,51493,8.5
26965,44422,13.4
30116,55089,7.7
17106,41400,26.9
23227,40445,15.2
29328,65409,7.7
24448,52147,15
21423,41045,15.5
25898,38807,16
28207,49633,8.9
30518,58654,9.9
31558,50866,10.1
27874,55155,11.4
24367,41985,13.4
30738,54912,11.2
34390,69829,8.6
31310,65353,8.7
38399,77348,5.5
29369,58825,10.5
28582,54463,9.9
27391,54235,14.4
43347,83794,7.2
36835,78446,5.5
30592,61683,13
32948,56494,10.1
22524,50750,17.5
32181,55095,16.6
32600,74524,8.1
32641,58442,16.8
50349,106143,4
37465,73480,11.2
34345,79596,8.5
42749,84526,7
48814,98633,4.4
30477,61136,10.4
27152,57654,16.3
28772,59718,12.4
47803,99020,5
37949,87335,5.7
35089,68507,10.8
33555,70912,7.8
26814,48801,18
20616,39826,19.7
19492,39131,21.3
16129,37237,27.6
21387,37734,17.7
21259,39871,18.9
24879,37660,23.5
19565,37933,27
28438,49165,12.5
22755,37899,20.2
14198,29071,17.5
25686,34063,16.7
18392,34080,24.3
22484,50694,15
25449,43014,14.7
51044,106686,4.4
16114,29282,29.7
12679,30458,35
20543,28481,19.7
19880,39263,21.8
17936,30802,21.4
20014,40250,21.2
17477,38764,25.4
26924,58017,14.2
21260,48196,22.4
17926,28275,29.4
32298,52917,17
17752,27430,22.6
18104,34036,25.1
21333,32637,25.3
18675,31161,28.6
18472,38902,11.9
19623,42506,23.6
26264,51957,16.2
24716,49830,15
26217,52873,15.1
34123,60100,10.2
28358,70238,8.8
20862,30284,22.3
28056,64632,13.9
26515,59472,12.3
29800,72742,9.3
22879,40143,17.3
21757,46137,15
23146,35017,20.5
21838,39876,18.9
18203,52101,18
33472,61573,11
28670,53040,15.1
24435,48586,12.9
32328,59394,13
20978,42445,16.5
18171,34388,29.8
24835,45958,17.4
22049,42603,17.9
24702,51581,12.7
22168,42429,19.1
25329,48804,15.7
22097,43941,15.5
24676,50282,14.5
33613,57336,9.8
23179,47151,14.7
23677,44470,14.2
33594,72525,9
27978,50653,14.6
26582,47380,11.9
21575,45667,19.2
23839,44276,16.1
25403,49922,12.6
25700,49655,15.1
28265,51522,9.4
23418,45047,15
23078,46484,15.4
25289,46085,23.2
22942,46840,13.5
23978,53518,13.4
25230,53589,11.3
28732,52394,15
23417,44156,18.7
42400,97690,6
62498,69659,17.7
25991,47955,13.7
25103,48729,15.9
28746,54242,14.8
29904,56479,9.5
30583,70458,12.4
22255,48502,13.4
23126,48051,17.4
24165,47765,15.5
40309,95117,5.8
26495,57001,15
29987,59432,13.2
31823,72569,11.9
34591,84951,13.6
35176,69826,6.5
28319,56061,12.7
26584,53245,11.5
24173,46976,11.5
23115,47618,12.3
22198,43647,19.6
25371,47476,15.5
36945,87763,6.4
24963,48089,18.2
27230,55726,9.3
27418,51393,20.5
30442,58590,12.5
30351,55904,10.9
24168,52361,13.2
25327,52601,11.3
47984,81946,9.5
22700,51100,10.5
24457,49335,15.9
18235,35678,22.7
22295,42823,18.6
21940,46548,16.3
20011,40516,18.7
17019,33823,31.7
25323,52239,8.8
22380,41534,14.6
21206,44341,14.1
26813,56610,13.6
21783,43779,15.5
23358,49157,13.4
22780,43136,18.6
28761,60365,10.2
22026,46048,16.5
21575,42300,16.9
20526,41274,16.9
21478,40783,16.6
27423,43804,18.3
22511,43425,13.7
22739,47593,13.9
40189,89757,4.9
26135,46498,13.3
27031,58786,11.9
20603,37619,20.1
28283,50877,18.1
24771,52856,11.4
21168,39226,17.7
34455,67663,8.1
30040,58080,13.9
20537,38841,20.3
29681,48593,18
26139,49589,14
19626,40415,18.1
21029,39002,18.4
23347,49439,13.5
19348,39091,19.5
21037,42089,15.9
17177,45477,15.8
22257,49404,13.5
19405,36356,24.6
22324,40577,16.6
23878,49750,14.2
29132,56018,9.2
21365,41552,18.3
26716,55114,12
22878,47542,15.9
26030,51816,14.6
23885,41556,20.8
24014,54956,11
23975,41058,17.6
20624,42572,18.5
30707,65951,7.4
18816,35469,21.9
24157,52535,9.4
25369,52040,13
21487,40573,19
24997,43401,17.7
21027,37865,20.2
22228,51484,13.6
20775,40524,18.1
18853,38290,15.2
27979,53202,11
22714,44861,13.7
19372,41446,19.6
23851,54003,13.3
20071,42165,23.5
25332,52697,16.1
23374,48405,12.2
25481,61192,6.9
21932,41835,15.7
21310,43264,19.7
22799,46140,14.3
19437,35379,23.3
22075,43764,15.5
24028,50427,11.4
24453,45641,15
27818,49669,15.4
22568,42880,17.4
21966,43739,14.6
28852,65086,7.8
22790,45355,12.5
18101,36705,20.6
33172,72487,6.3
23496,42834,15.3
23061,49135,12.4
21350,43089,13.7
26326,52069,14.7
22382,44448,11.1
15116,32556,26.4
22488,44811,12.8
17842,37012,21.8
26109,51422,9.9
23959,48989,15.1
20242,44206,15
20524,38897,18.4
17858,39267,20.6
27552,63629,7
21476,41401,16.3
18582,37260,22.8
17739,30201,27.1
23514,38301,20
26920,54989,12.9
19752,34867,21.6
22363,46036,17.3
21452,46317,14.7
19820,39236,17.8
22327,43026,14.7
23261,44972,19.1
21109,36588,21.2
24860,46488,14.2
27183,47344,16
24177,44530,13.9
21285,38245,19.1
23500,49637,13.9
27469,46625,8.8
17969,39900,9.9
18582,26688,28.8
22675,46117,14.9
18896,35334,17.4
18268,34619,21.1
22925,42824,16.5
19042,34701,20.7
19967,36192,22.1
22207,41012,18.2
25773,54666,8.3
23576,36281,22.6
22603,40970,16.8
18141,36542,22.2
21888,42668,15.9
25620,53591,13.1
19910,43260,16.6
27168,49905,12.6
19583,37319,17.3
20585,42751,19.7
25293,54426,11.6
17615,31790,26.1
19100,36096,20.7
21870,44151,14.5
19868,38502,22.9
21947,44842,14.1
19256,39430,16.6
16528,35170,28.4
26561,45215,18.5
19753,39156,19.5
22353,44195,14.5
18331,36473,22
21220,44375,14.1
20868,36812,25.7
21966,41252,18.5
22381,41881,18.8
20937,42764,18.6
18542,29897,26.5
27326,53885,13.2
27365,58525,9.3
18321,33819,22.9
18131,35742,21.4
23038,43885,14.6
22064,49901,12.8
18035,36354,20.2
27676,48181,15.9
24874,55723,11.2
27053,48687,14.8
23811,46686,16.3
26022,51619,15.4
24922,51867,15.2
23234,41500,18
26738,48604,22.5
32781,64352,9.8
25680,44683,16.5
26271,54968,13.6
22239,37940,17.8
20883,38795,19.5
23972,39516,15
27524,50209,14.5
21870,40524,18.7
25320,44743,11.8
23828,35051,17.3
20865,38113,18.6
25181,56725,11.6
24378,44005,17.2
21593,43373,19.8
21791,37733,20.2
21489,39627,18.9
22056,33611,20.1
24224,42931,20
25194,42365,16
21500,46939,17.8
16352,35578,27.4
22001,46885,18.6
20663,49940,18
30475,52511,17.8
24426,52808,16.5
24314,42639,22.1
22452,43676,16.1
20836,48389,16.5
22684,42542,18.6
23131,41994,13.4
22844,43765,18.2
31078,64180,11.4
24575,37974,15.6
24290,54535,14.6
27284,59492,8.7
31593,51366,12.9
23661,45241,13
26258,49217,12.2
22259,43290,12.6
26723,55170,13.9
23875,42992,14.1
23667,46963,13.3
37466,76555,5.4
30957,58230,9.3
22659,41730,14.9
22747,41410,13.1
24861,48900,11.6
25545,50336,20.5
42210,86050,6.9
21902,42389,18.3
21273,41030,14.5
21875,42184,16.1
23681,44807,16.6
21741,42504,15.9
31791,60826,8.3
29234,54066,13.3
33179,64041,10.3
23738,45767,10.4
24189,45202,16.9
20884,39115,18.4
13646,36556,16.3
25741,52637,11
23201,48461,11.1
21819,44388,14.7
20739,44183,12.7
22933,43997,17.7
21300,41262,15.3
21628,46163,11.8
25594,46044,13.6
26496,56483,10.5
22906,43546,14.4
27074,54818,10.7
27923,54923,13.7
24793,44402,15.6
22987,45430,14.2
22426,41834,16.6
22831,44301,13.5
20794,40384,15.3
25494,57408,12
41472,79183,6.1
29600,51482,10
29266,60097,9.7
22478,41208,14.2
26048,57375,9.7
22279,37192,26.5
27691,59340,9.1
22564,41547,15.1
23021,45012,12.8
23088,46513,11.9
22192,43597,12.4
22923,40964,13.9
24477,48231,12.9
22621,44187,15.3
22259,48528,12.3
22060,41977,16
24179,43764,12.6
28433,53693,10.5
24005,49313,12.2
28051,50736,10.2
24195,48482,12.1
28132,58745,10.1
38893,71238,6.4
33814,62279,8.7
40293,71713,8.3
26308,49297,17.1
37023,72138,8.9
18134,35947,21.6
24769,44509,18.9
13334,25252,36
22081,41579,16.8
18902,31483,27.6
18862,35231,29.1
32503,57316,12.5
24165,52427,14.4
23023,40704,18.2
30158,50792,18.2
18240,34202,23
18098,33103,24.5
17140,31252,26.8
17665,31410,24.9
18769,33233,20.6
20105,36323,24
14988,28817,31.5
24495,53857,12.1
20753,43861,19.9
20257,36120,22.7
22432,41910,19.8
24437,40131,21.2
26643,49022,15.8
21053,36540,23.1
19332,34233,25.2
24002,42431,18.6
17350,36413,23.7
22638,43765,16.7
21003,42217,21
19153,37383,20.6
14740,27373,28
26886,54061,13.2
16531,29149,27.4
14577,28297,30.7
22150,40028,17.2
21591,41718,17.2
23904,41394,19.1
17687,34110,23.7
21182,41788,18.9
25763,48359,17.2
19725,38514,21.5
21889,42919,17.9
20340,41366,17.9
19037,32556,20.1
14845,25849,30.8
26553,53740,13.4
23504,46667,6.5
24025,42196,20.4
16275,37607,39.3
20941,40980,14.7
23105,46896,17.8
27138,51398,8.8
21928,45284,13.2
11405,30962,35.6
21744,41332,10.2
24152,35729,14.2
19030,40102,23.6
27878,49055,14.9
20595,38173,24.5
25582,47214,11.1
14262,30880,44.2
28356,50074,10.3
24597,48341,12.2
23126,39761,20.8
27525,51632,4.7
15558,30710,33.3
28323,49200,12
25775,49831,12.5
23624,37667,17.4
23069,41453,13.3
24554,48896,11.4
23041,36719,19.2
25754,47198,14.9
25233,55563,7.2
26027,47679,12.4
23197,55815,15.8
22247,44353,17.6
30284,59338,11.4
26110,42451,13.2
26195,47813,8.1
20319,46224,22.3
26590,46591,12.2
23377,44808,14.4
27485,51373,9.2
27015,48936,16.3
27498,43273,14.4
34839,74751,4.5
20586,47596,17
24205,46597,18.6
26505,52703,7.8
22596,37240,19.9
25375,49324,11
15760,35109,36.6
31288,48477,9.5
26380,52345,10.9
27682,51791,11.9
8768,25648,53.2
27000,50833,13.5
25751,38362,14.1
26180,44556,13.1
22670,47191,19.6
25823,48384,12
27757,48911,13.2
30933,54620,10.2
30218,54524,5.8
10575,31934,44.6
23270,39324,20.6
25406,51925,9.1
36167,63468,4.4
25915,41826,10.9
27268,52578,13.4
12339,32708,42.3
24561,43620,18.2
19303,40759,20
18456,33033,22.1
15747,33443,22.4
23788,45991,13.7
21649,41083,19.8
16812,31943,23.8
20566,40689,17.8
18330,35049,20.1
19018,31842,22.9
23459,52446,13.8
18817,41875,19.9
18583,33229,22.9
16867,29727,20.6
17476,30573,26.1
20357,37618,20.9
18664,36066,18.9
21141,37188,17.6
28467,47335,18.5
25368,36258,22.6
21606,37482,19
21547,44318,15.4
21208,38953,17.8
28201,56618,14
16454,29192,25.7
22398,42904,15.1
20402,38343,18.7
19998,38495,19.5
17933,32364,20.4
19801,35545,22
15683,26814,29.7
21261,39596,19.2
27229,46702,16.6
14326,23892,30.8
14975,30973,24.6
20127,33622,22.6
20662,37357,16.2
18714,34542,21.1
20449,38280,18.8
22239,36950,19.2
18383,39581,17.4
18539,35271,23.5
22183,42846,13.9
18387,33386,22.1
20619,39745,18.3
16470,29609,26.4
28136,47694,14.6
12042,27115,31.7
15758,32326,26
19136,37368,18.1
17751,34397,19.9
21811,41571,16.3
27045,51074,16.1
17009,35306,21.2
23283,41617,20
21399,41268,18.2
20739,42291,16.2
22766,45336,15.4
19744,39410,18.3
18428,33452,22.6
19403,35150,20.7
19643,37595,19.6
22380,49617,16.4
23307,46170,13.2
17747,37631,20.8
20900,39467,17.9
18347,34604,22.4
17214,32845,21.1
21942,35184,19.2
20274,39074,17.3
20517,33709,26.5
18952,36741,22.6
23936,42223,15
23809,52792,13
25077,55401,13
17121,28401,28.3
20899,36434,17.4
22242,43649,14.5
25549,46250,20.8
21153,42383,19.4
21701,39781,20
23850,39479,18.3
27795,55509,10.4
23054,52423,13.4
20491,43034,13.6
20152,32292,21.7
17426,34399,23.6
19450,33547,22.5
19531,34641,21.5
25355,42075,18.3
17706,33198,20.2
19547,35273,20.9
18205,34474,19.9
41292,89779,5.7
27864,60390,10.2
18495,40653,20.3
27429,57825,12.5
20982,41354,19.3
26953,42476,19.6
27800,56452,11.3
26823,61635,11.1
20193,47543,16.4
25884,53265,10.1
18676,46139,13
25364,49215,15.3
23342,51750,16.5
28021,33445,15.4
16848,43690,22.2
22857,50060,15.3
24253,50112,17.6
26781,49487,9.3
50042,71607,0.9
23992,44742,14.7
22911,42346,19.7
29081,67603,11.2
21720,38310,29.8
27796,40477,12.4
20697,36250,18.6
14345,21865,38.3
21236,39776,18.4
21529,45651,15
24998,48115,16.3
19673,44152,18.7
23381,47027,17.6
22855,44902,15.2
14710,33179,34.8
19176,37079,21.8
26827,65026,7.2
20104,35598,20.9
19708,36402,24.1
30140,72489,9.7
18801,38378,24.5
20248,47532,15.9
25867,53776,10.3
17371,38650,15.1
26407,40795,11
18967,31373,27.6
37839,82762,7.8
22847,41576,20.4
24348,45146,16.6
32980,65839,10.2
19268,36020,26.4
19976,51411,16.5
25186,50067,14.8
19357,49819,13.4
21089,34639,15.4
22291,50417,13.8
23872,50475,16.7
18959,38187,26.5
16227,37105,25.2
19752,40895,18.1
26816,49481,19.1
17677,39714,21.9
17532,41444,18.9
20150,40375,17.9
33855,74155,8.7
23720,46454,13.5
20578,38401,18.8
17516,36681,26.5
21904,42411,16.7
20181,34131,19.7
21125,34914,19
24247,51466,15.9
22015,43839,18.4
25662,61952,11.9
18379,40157,23.3
21670,39586,22.3
16486,32908,20.9
20337,44355,17.2
27032,48015,11.6
22709,42125,17.1
21655,42279,20.3
20202,33750,15.4
34084,85297,8.4
28189,45523,14.4
22876,44502,15.6
15863,35849,24
21572,52910,16.8
30926,61877,13.3
16175,47540,15.5
30117,53668,12
31135,69107,4.2
30031,50923,14.7
20288,39248,21.9
21738,43504,14.6
24003,46429,15.7
24064,45525,17.6
20307,43994,19.1
26184,61958,9.7
18004,41191,22.3
19004,33006,23.8
23067,40655,12.6
23969,49150,17
19829,36377,26.6
25559,53013,10.9
27899,53137,18.5
23236,45675,16
24566,65750,8.6
22223,36857,18.9
26873,58651,17
29544,56379,11.7
21995,40900,18.9
14222,34146,34.8
21182,40769,17
21984,50565,15.7
30046,55754,12.1
21606,43657,19.3
19090,33119,19.7
19965,45612,15.3
14142,22545,44.1
22341,44858,19.9
23383,44731,15.8
28055,50357,8.7
24325,49038,16.7
23418,49528,12.7
20254,40417,17.8
26958,49056,7.4
23236,42568,21
19212,36121,14
20452,40585,21.7
24816,57535,12
14827,41297,18.5
19899,42862,23.3
24954,61194,13.3
35827,73410,9.3
15157,43438,32.8
24839,46875,8.6
26334,43601,14.9
27502,43424,19.5
29836,65000,5.9
16700,33257,25.7
18918,40566,24.5
19396,34295,20.8
21468,40104,19.1
18744,36727,22.1
23423,49277,16.9
13307,26756,21.7
24299,44149,8.3
25123,51534,12.4
24170,44452,17.7
19740,47228,18.4
19352,38823,21.5
29017,57978,10.9
21016,42829,17.1
33634,44094,14.1
34068,68750,12
23773,44397,20.4
21639,44375,20.2
15131,41732,25.2
20337,31967,23.2
20859,42607,15.8
27504,46865,13.6
23389,43096,21.1
13668,31395,30.5
20677,39194,16.6
21660,41922,22
27375,39500,19.2
22413,55326,17.7
18253,31215,23.5
33672,62993,10.4
21248,37391,19.2
22651,44213,13.1
15936,42045,11.7
24699,44231,15.6
32911,67766,12.4
19770,51181,15.4
20045,37849,20.6
18828,35845,25.5
20362,36777,25.7
20327,40795,21.1
20431,37246,16.1
19002,36806,18.5
23671,47057,18.4
23382,49964,17.3
22519,48929,14.2
24736,49507,14.4
23655,41670,18.5
26525,52453,12.7
30692,64515,10.9
19304,44943,21.3
20245,47019,16.7
19498,37855,20.2
19861,37951,23.1
16175,29634,24.8
21946,44478,13.6
29124,58529,10.3
26633,61250,9.5
17931,33885,20.2
19014,31712,16.1
15467,40571,21.9
23174,44548,16.2
36172,67321,3
21709,40601,20.7
34617,86119,5.9
20235,37667,21.9
21640,45752,17.8
18762,32963,25.8
18695,28390,26.4
24733,46107,20.1
23373,50657,17
18009,37743,15.2
24787,50648,22.8
22860,47513,15.7
25436,47277,16.1
21126,37081,22.1
21936,48185,13.7
25626,47432,16.7
28134,55269,9.3
11584,24927,39.2
20535,41728,18.8
20157,50543,15.1
24063,42429,16.6
27721,53806,7.3
17880,36753,23.1
28266,56853,15.2
23141,44891,17.4
31578,39479,10
21201,37679,14
24086,39286,13.7
19356,42939,22
23712,44545,16.2
33206,58025,17.4
18730,34555,16.1
19612,39940,17.4
22483,46600,15.8
22953,51750,17.1
17479,34902,26.5
17867,40450,22.1
21920,43439,16.4
24700,50364,16.9
16330,37617,26
22412,50097,20.4
22278,42568,20.4
23070,44858,14.9
14553,39449,31.4
20310,40411,18.8
30097,51766,14.3
22905,45086,15.6
20373,41658,20.7
11313,25886,40
31070,71803,7
27238,64571,11.5
23629,48992,12.8
25663,56005,10.8
23129,43649,14.6
21389,49340,11.7
26979,44429,16
16671,31109,34.7
12828,25625,35
19415,46660,14.1
21720,57292,8.8
20074,49506,16.6
20155,44724,15.1
22811,46917,8.6
26035,69707,7.9
23411,57683,8.9
20137,52763,10
21989,45357,11.5
23558,45888,13.7
17839,42369,20.9
18108,55247,14.7
24154,48540,7.8
19972,49238,13.3
26274,80337,4
16959,38500,25.4
24258,50000,7
26103,60555,12.7
15476,40492,27.1
17811,48369,15.7
19115,46229,15.4
42462,83336,8.5
22252,61412,8.7
23805,62067,11.6
20774,60196,14
25777,65050,9.5
21472,49279,15.3
19858,41458,18.2
23106,54974,12.8
22703,39328,20.5
37239,67725,10.2
54608,85706,8.4
24162,44848,12.6
25100,52885,8.3
22580,44945,11.4
23636,50167,17.7
62018,103208,8
25519,52027,9.5
28704,51365,16.4
28697,57596,8.2
18501,42139,16.6
32490,65935,7.7
18820,32221,21
16060,36293,24
17489,29848,25.9
17167,38648,23
18453,36591,20.6
23231,47162,14.7
25718,57218,12.7
19385,32853,18.1
26198,48428,11.8
18762,33015,17.9
27268,44601,27.5
29905,69743,8.5
32572,72088,6.7
38748,77597,6.7
27610,50835,9.3
20160,34319,21.3
21498,47806,8.7
27379,64423,9.1
21540,40557,16.3
19626,30786,27.4
18215,33318,20.9
23781,52027,13.2
19710,32155,29
21532,44885,11.1
50532,110292,5.9
44345,97242,7.2
59088,120000,4
39600,88409,5.6
21816,44618,12.7
30881,68288,7.1
24557,45624,14
19588,31928,23
30112,68424,7.1
27222,47040,18.6
21769,30325,25.3
23485,45141,13.3
28673,60519,9.2
45039,80976,5.6
20591,30710,19.1
26998,59358,12
16380,39697,21.6
20929,34659,21.3
25247,50705,14.9
33540,75070,5.1
