BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207
111,780,0.8,321,0,0,0,0,0,0,0
274,2790,-1,1154,1434,0,0,0,0,0,24.1
127,907,-5.1,643,532,0,0,0,0,0,23.7
155,1636,6.9,575,586,0,0,0,0,0,32.8
162,2713,0,598,863,0,0,0,0,0,21.4
377,4054,3.7,1218,1924,0,0,0,0,0,0
1002,10181,2.7,4220,5253,4.1,0,0.7,0,2.2,21.5
189,2422,1.7,1237,1202,0,0,0,0,0,0
213,3002,2.6,1165,2094,0,0,0,0,0,0
704,10926,-3.1,2423,3160,11.3,0,1.1,0,0,18.9
836,17787,17,2083,2231,13.4,0,0,0,0,28.9
197,1723,1.4,534,832,0,0,0,0,0,0
141,920,2.6,740,922,0,0,0,0,0,0
123,1948,3.1,471,622,0,0,0,0,0,0
83,759,15.3,697,1027,0,0,0,0,0,0
530,7423,-2.4,1292,2153,13.6,0,0,0,0,0
107,816,0.5,700,636,0,0,0,0,0,0
414,4195,1.2,1419,1791,26.7,0,0,0,0,33.4
201,1792,5,866,964,0,0,0,0,0,15.1
365,3546,-1.9,1424,1682,0,0,0,0,0,20.3
453,5036,-2,1461,1931,0,0,0,0,0,22.6
1536,23438,0.5,3684,5192,0,0,0,0,1.8,21.3
157,905,0.3,496,572,0,0,0,0,0,9.3
12010,204171,0.7,26975,35392,14.1,1.2,2,0,2.1,26.7
325,3500,5.4,1252,1427,0,0,0,0,0,14.2
1837,19290,1.5,7532,9517,1.7,0,1.5,0,0,23.9
154,2178,0.3,613,776,0,0,0,0,0,0
116,1083,3.3,754,728,0,0,0,0,0,19.8
3482,61045,-2.4,8225,10763,2.5,1.5,3.4,0,2.2,0
270,4148,-21.1,779,908,0,0,0,0,3.6,25.3
309,2394,-1.8,1276,0,0,0,0,0,0,0
462,5148,-5,1882,2007,33.3,0,0,0,1.4,38.8
234,2024,-2,1183,1918,0,0,0,0,0,17.8
1140,16689,2.3,2733,3612,10.5,0,0.7,0,0,27.4
338,3484,-4.2,1259,1819,0,0,0,0,0,0
4934,79392,0.5,14580,17653,0,1.5,1.2,0,4.4,22.4
1519,22276,-4.6,5198,7525,1,0.6,0,0,0.7,17.2
138,1307,1,393,391,0,0,0,0,0,24.6
307,4940,1,1159,1297,0,0,0,0,0,24.3
463,6796,-2.4,2644,3732,0,31,0,0,6.2,0
2245,26387,-3.1,6369,8740,2.5,0.7,2.3,0,15.5,33
3518,44834,0.9,8342,11407,0,7.6,2.1,0,5.6,31.1
1013,10780,-5.5,3387,5250,0,4.3,0,0,0,28.7
487,6499,2.4,1314,1603,0,0,0,0,0,0
90,4834,5.8,220,538,0,0,0,0,0,0
345,3739,-2.7,793,1241,0,2.7,0,0,0,32
86045,1491582,2.3,275014,311765,2.4,1.2,3.9,0,9.2,27.3
3603,39476,0.1,10217,14568,1.1,2.6,1.6,0,4.6,25.9
1692,16802,-0.8,5261,6709,0,11.8,0,0,0,24.7
19962,305393,0.1,60686,75853,1.3,1.4,3.4,0,14.1,30.1
3311,46431,3.4,15902,15591,3.1,1.9,0,0,12.7,27
1145,10954,-0.1,4032,4599,0.6,0,1.6,0,47.1,25
5548,53338,1,17762,23563,0,0.8,1,0,6.9,25.4
2851,39710,-0.6,8290,10158,0,2.4,2.1,0,33.9,29.8
37108,598309,1.9,124216,140342,6.8,0,24.4,0,8.9,32.2
36,176,-71.5,101,122,0,0,0,0,0,0
786,7768,2.9,2678,3491,0,0,0,0,0,23
4637,56166,4.6,13031,17307,1.2,0,2.7,0,0,30.9
881,5729,1.3,3521,5365,0,0,0,0,0,24.7
376,3956,1.3,974,1234,0,0,0,0,0,25.9
22338,306661,3.5,82405,95688,4.1,1.4,14.8,0.3,10.9,31.2
417,3966,-0.1,1210,1604,0,0,0,0,0,28
4236,40712,2.2,15627,21265,0,0,2.4,0,6.5,26.9
15973,239776,2,49304,58745,3.9,0,11.3,0,21.4,29.4
453,4574,0.1,1353,1903,0,0,0,0,16.6,26.1
3169,32396,0.2,11071,14689,0,2.9,0,0,0,26.9
2419,31319,3.9,9691,10129,2.6,2.6,0,0,52.2,28.8
525,5085,-2.4,1298,1709,0,0,0,0,0,0
12344,195927,3.1,43515,53051,4.4,2.3,0,0.2,24,31.4
1575,23441,0.6,4180,6194,0,1.1,6.8,0,27.1,35
1032,9233,1,3929,4961,0.9,0,0,0,0,31.6
409,3947,12.5,1031,1829,0,0,0,0,0,20.3
253227,3799831,3.8,945941,1046940,5.7,1.4,17.5,0.3,21.6,30.2
1883,25438,2.6,6970,9543,0,0,5.1,0,23.7,26.3
9654,98110,4,36468,42712,0.9,0,0,0,0,33.9
349,3246,-1.8,1232,1437,0,0,0,0,0,0
2466,22157,2.6,8223,11015,0.3,1.9,0,0,0,27.6
2852,41183,1.1,10521,12639,2.6,0,9.1,0,24.8,30.2
158,1228,-7.3,555,893,0,0,0,0,0,0
562,6264,12.5,1346,2137,0,0,0,0,0,21.3
8408,101020,1.9,23865,31711,2.4,1.3,7.5,0,21.8,32.5
4043,58272,1.9,11274,12794,0,1.3,5.4,0,10.3,31.1
2966,26259,3.1,11651,14492,0,0,0,0,0,28.7
