MAN450207,WTN220207,RTN130207,RTN131207,AFN120207
5015960,0,3900853,9373,379422
222524,0,582426,10460,86532
8769037,0,11083611,14036,1478160
1853300,6483616,1765735,9106,840344
169975,0,423597,5908,52440
6161531,11193392,4848908,11556,578044
0,85315,262997,17193,30297
2042979,5774128,9931962,18277,1008531
0,8772,142696,11435,33162
0,52654,32910,8570,0
0,0,16419,2838,2990
3855872,2782109,4039254,13660,668939
2255472,0,1139808,21240,163445
0,23550,252573,14982,49240
0,51173,12958,7276,407
0,6955,73119,8185,25036
0,3595,33081,4132,4499
0,0,5702,1726,0
0,0,15707,2427,0
0,0,58746,14820,5545
141382,60887,312871,10353,26912
5189894,14920938,6835351,11810,2279048
0,19209,15039,7961,1659
1950842,0,3765450,13846,435099
0,0,928788,18367,469696
0,13792,80718,3558,6884
0,2810614,7950151,13578,1153810
168772,0,352422,7444,40834
0,442167,1184677,22367,161174
0,0,3225,636,291507
0,5107,193138,14227,73865
0,0,211576,14116,89685
0,0,7808,9362,3567
0,0,55321,7180,9712
0,0,19370,14149,2416
6566636,2514091,7282158,13782,960467
0,27022,8036,6158,0
0,166345,84356,10717,10306
0,0,51369,6540,12573
0,0,790433,15914,206242
3226757,1265188,3922871,13672,604358
0,51612,164359,10393,22369
0,0,134696,25671,8400
0,0,281292,13454,23276
539590,1179281,2389507,17279,268843
0,0,6008,6239,9476
0,73158,213043,15717,35307
0,52094,301379,12003,84913
218197,0,610875,15484,51053
0,0,232820,8450,27652
0,59844,171450,9166,20313
0,1022,26977,6131,21247
0,3435,55409,3266,11083
0,150858,45616,10207,1880
0,64678,399540,26461,270848
0,81975,146970,11300,16282
1705822,431008,1864599,12080,220852
0,0,54732,8831,11303
0,218177,110165,9480,14191
0,187821,421473,18866,184368
0,57075,20857,3039,0
0,0,6624,11540,5079
0,0,97815,13114,77135
0,0,33331,14305,1697
0,0,641013,24434,281619
0,26287,169017,7771,128005
0,42615,23053,5015,1542
4193672,0,2246115,9272,217231
0,193564,106085,11074,8777
20028377,78881637,15702222,17661,1861946
15016177,15631406,13820736,15811,1637963
0,0,2458157,13043,245161
3336020,953882,2129195,12980,293408
10493031,9890749,11785336,13970,1345875
0,0,3882978,14682,3444661
1021759,214311,1206302,8140,173091
1776526,546686,1180554,10120,136332
332844,2117990,3843716,6555,4278171
2361835,0,2589237,17024,447861
20268769,0,8633413,16358,999186
3049335,0,2979433,16103,463723
0,0,3152244,13124,493980
0,0,180555,7052,19819
1254295,644966,2471968,15138,480359
0,0,215629,7436,37088
6767571,1852661,6593988,12339,855503
7160772,31411627,30886257,17680,4209090
0,0,64750,4791,9289
0,211715,1898114,12072,178021
0,0,1405565,10051,109681
0,394349,2005718,10997,213775
606697,1649037,5186468,16546,1037152
351463,478597,862158,12692,103321
0,0,280786,8001,24311
0,0,49120,3303,7395
11222050,17205787,13316700,15688,1719352
2117030,1838916,4055667,13404,493882
235664,0,684121,7766,114760
0,0,92324,8191,37568
262901,383966,440290,9422,18920
0,2348,52477,3102,8145
0,0,13064,1191,4894
0,0,76286,4840,18763
0,0,103218,7243,7863
0,0,400142,13878,17883
0,212095,345685,8774,37321
312518,177905,1654088,9789,166197
306138,0,1089559,11060,100789
9444867,17752902,19110290,16335,2619799
0,0,73133,3825,8328
413041,0,1851697,13940,190526
180603,70612,541943,11070,43151
0,43717,88713,6403,7035
0,0,66528,8292,2663
825472,726344,3441893,11391,436028
1181824,2271601,9193114,15708,1191997
593440,791172,3533827,13451,551621
130976,62754,346356,8920,32401
0,0,24403,3129,3368
0,0,124831,6578,12314
2985063,1725496,3874822,12339,443809
1841509,1639464,4218810,13060,353110
856090,741647,2470433,17790,279037
9347116,60760055,34530470,14074,6005856
0,0,1387603,18900,748100
696212,0,630924,9219,286967
656730,236877,3031043,16754,491894
0,85257,430587,10758,46949
10921814,17080688,19195634,18005,6645089
644949,3044187,2868737,11107,890451
4240652,12017516,19321650,15278,3088613
745172,807398,4746208,10328,432390
8062020,12378394,14826852,16244,1925067
7178034,13241719,6420144,11195,699617
982580,0,671648,9108,48880
74894,148932,1107974,7499,135111
1366676,1560297,5599478,15181,844369
1634749,2852650,6872148,16831,764148
533263,871130,2039710,11601,507634
916481,693623,3697675,14197,268322
367864,0,672106,9244,79933
0,108657,353760,8962,31870
595497,0,207073,9886,19967
0,0,42047,2855,10512
1948646,2002931,6099931,12230,899154
0,7019,167697,5544,20092
0,205148,705008,13387,312686
0,0,177286,7747,18080
347120,58142,179447,10022,15835
0,0,35656,4367,937
165420,120704,68612,6495,5947
0,0,5320,1421,0
0,0,524150,11267,57925
0,23263,233863,14223,44269
768413,466296,660898,9839,125078
3723604,648966,1177422,12699,140737
0,0,224967,12693,20020
415852,68412,129158,7739,9253
1693877,1613732,2536200,16374,306252
0,16882,76320,5950,6646
0,0,62404,4043,4259
0,65887,88152,5394,0
0,154440,224984,7479,34786
523827,0,733425,11044,95340
0,0,177473,7776,11108
287017,465389,295450,12496,17970
0,16497,19557,3266,946
0,0,648346,13688,71770
0,24255,114511,10977,14749
3175562,985854,1252468,11190,142419
562058,151178,795089,12730,76458
0,45988,68423,6460,9831
0,3780143,4004232,16107,872885
0,0,12987,934,804
629589,66428,147194,5478,0
823737,848952,2114906,10373,246874
1971235,1782494,1669122,14711,293388
0,1533,11021,3465,0
1604635,3582346,3207049,11760,398890
0,0,39791,5714,3333
5651641,15524844,10480711,15157,1393471
0,323863,458699,11367,47137
599465,184865,432377,9669,35043
2411210,357458,1406298,12919,119074
360662,51503,118054,7198,18080
2270118,524585,1290974,10852,146607
