SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214
52.4,0.538,0.436,0.3,1,0.1,1.2,0.032,51.3
50.8,0.956,0.014,0.5,1.1,0.1,1.2,0.021,93.9
49.9,0.964,0.009,0.4,0.7,0.1,1.5,0.04,93
51.4,0.557,0.416,0.8,0.7,0.1,1.1,0.056,51.6
52.5,0.367,0.548,0.5,5.9,0.1,2,0.089,29.9
47.8,0.68,0.3,0.4,0.5,0.2,1,0.034,65.6
46,0.476,0.505,0.2,0.7,0.1,0.9,0.073,42.2
53.5,0.29,0.684,0.3,1,0.2,1.2,0.026,27.3
52.1,0.518,0.435,0.4,1.7,0.2,2.4,0.089,44.9
52.8,0.482,0.499,0.4,0.6,0,0.9,0.022,46.5
50.7,0.887,0.056,3.1,0.5,0.2,1.8,0.281,63.6
50.1,0.827,0.14,0.4,0.9,0.1,1.8,0.037,79.6
52.1,0.682,0.294,0.4,0.9,0,1.1,0.055,63.7
51.1,0.636,0.342,0.4,0.7,0,1,0.046,59.8
51.7,0.655,0.312,0.6,1.2,0.3,1.2,0.12,56.2
51.1,0.969,0.008,0.4,0.5,0,1.3,0.02,95.2
51.6,0.709,0.22,0.4,4.5,0.1,2.1,0.071,65
51.5,0.809,0.148,0.8,1.4,0.3,1.7,0.103,72.3
50.3,0.852,0.035,0.5,9.1,0.1,1.6,0.097,76.4
51.2,0.873,0.096,0.3,0.9,0,1.8,0.043,83.8
51.4,0.467,0.443,0.3,6.7,0.1,2,0.076,40.5
50.1,0.963,0.009,0.6,0.4,0.5,1.2,0.109,86.8
51.1,0.879,0.099,0.4,0.4,0,1.4,0.015,86.5
52.7,0.695,0.265,0.5,1.5,0.2,1.8,0.065,64.1
50.4,0.92,0.044,0.6,1.1,0.4,1.4,0.152,78.2
51.3,0.674,0.291,1.3,0.6,0.2,1.4,0.109,58.7
51.2,0.61,0.366,0.5,0.5,0.2,1.2,0.063,56
51,0.581,0.27,0.8,11.5,0.1,2.5,0.205,40.6
52.6,0.907,0.04,1,2.5,0.3,1.4,0.136,78.7
50.1,0.873,0.081,0.9,2,0.2,1.5,0.275,61.9
46,0.254,0.726,0.4,0.7,0,0.8,0.017,24.3
51.6,0.923,0.051,0.4,0.7,0,1.6,0.014,91.1
50.2,0.799,0.171,0.4,0.9,0.1,1.6,0.033,77.2
50.4,0.784,0.188,0.2,1,0,1.5,0.036,75.4
50.1,0.864,0.107,0.4,0.6,0,1.8,0.025,84.4
52.2,0.534,0.406,0.3,3.4,0.1,2.2,0.064,48.6
51.3,0.636,0.303,0.4,2.8,0.2,2.7,0.066,58.3
49.2,0.713,0.267,0.1,0.8,0,1.1,0.036,68.4
50.4,0.888,0.072,0.4,1.9,0.1,1.6,0.067,82.7
51.3,0.76,0.215,0.6,0.3,0,1.7,0.042,72.5
50.5,0.82,0.156,0.8,0.6,0,1,0.113,72
51.4,0.445,0.536,0.2,0.7,0.1,0.9,0.033,41.9
46.8,0.546,0.432,0.4,0.5,0.2,1,0.051,51.2
43.5,0.635,0.35,0.3,0.3,0,0.9,0.022,61.8
51.6,0.73,0.249,0.3,0.8,0,1.1,0.015,71.9
52.3,0.657,0.317,0.3,0.5,0,1.7,0.022,64.1
49.6,0.721,0.227,1.1,1.4,0,2.7,0.055,68
52.4,0.613,0.362,0.3,1.1,0,1.2,0.025,59.3
49.8,0.751,0.207,0.4,2.4,0.1,1.4,0.026,72.9
48.8,0.511,0.408,0.8,2.4,0.6,4.3,0.121,42.2
50.7,0.666,0.316,0.4,0.5,0,0.9,0.013,65.6
49.7,0.683,0.256,0.8,1.2,0.5,3.6,0.118,59.1
51.1,0.59,0.366,0.5,1.7,0.2,2.1,0.055,54.9
50.2,0.947,0.019,0.7,0.7,0.1,1.8,0.049,90.5
45.9,0.372,0.598,0.4,1.6,0.2,0.8,0.041,34
50.7,0.877,0.094,0.4,1.2,0,1.3,0.047,83.6
50.1,0.64,0.308,0.9,1,1.8,1.6,0.076,59.3
53.1,0.568,0.407,0.4,0.5,0.1,1.5,0.028,54.7
50.8,0.628,0.349,0.5,0.4,0.1,1.2,0.02,61.4
52,0.582,0.394,0.4,0.7,0,1.2,0.022,56.5
51.6,0.694,0.281,0.5,0.7,0.1,1.2,0.02,68.2
47.7,0.498,0.48,0.5,0.7,0.1,0.9,0.043,46.3
49.6,0.739,0.237,0.3,1,0,1.1,0.023,72
48.3,0.714,0.268,0.1,0.4,0,1.2,0.06,66.5
51.5,0.74,0.232,0.7,0.8,0,1.3,0.03,71.7
50.3,0.958,0.014,0.9,0.5,0.2,1.2,0.14,83.3
50.8,0.479,0.461,0.5,2.5,0.2,2.8,0.075,42.4
52.3,0.536,0.43,0.4,1.1,0.1,1.9,0.049,50
51.1,0.89,0.054,0.3,3.9,0,1.3,0.046,84.9
50.7,0.795,0.177,0.3,0.7,0,1.8,0.039,76.1
51.2,0.784,0.18,0.4,1.1,0.1,2.1,0.057,73.8
51.7,0.515,0.451,0.5,1,0.1,1.8,0.073,45.3
50.7,0.958,0.017,0.5,0.8,0,1.3,0.031,93.1
50.4,0.878,0.093,0.8,0.6,0.1,1.3,0.051,83.5
50.5,0.873,0.105,0.3,0.5,0,1.5,0.016,86
50.9,0.836,0.13,0.7,0.8,0.2,1.6,0.13,72.1
56.8,0.656,0.317,0.4,1.1,0.1,1.1,0.035,62.7
51.5,0.704,0.273,0.4,0.6,0.3,0.9,0.066,65
50.6,0.513,0.475,0.3,0.2,0,0.7,0.014,50.4
50.6,0.952,0.016,0.5,0.9,0.1,1.7,0.084,87.7
53.4,0.377,0.609,0.1,0.5,0.1,0.7,0.021,36.3
51.6,0.395,0.555,0.4,1.8,0.3,2.6,0.046,36.4
52.7,0.444,0.51,0.5,1.9,0.1,2.1,0.1,36.4
52.6,0.769,0.215,0.1,0.8,0,0.9,0.044,73
51.2,0.562,0.417,0.4,0.5,0,1.3,0.017,55.1
52,0.646,0.33,0.2,0.8,0,1.3,0.029,62.3
51.7,0.637,0.332,0.4,0.9,0.1,1.7,0.045,60
51.8,0.851,0.113,0.4,0.9,0.1,2.2,0.03,82.7
38.9,0.451,0.515,0.6,1,0,1.7,0.245,27.6
52.6,0.44,0.528,0.6,1.4,0.2,1,0.053,40
52.3,0.413,0.566,0.4,0.2,0,1.5,0.021,40.1
51.1,0.405,0.569,0.2,0.8,0,1.6,0.04,37.5
42.3,0.681,0.295,0.6,0.5,0.1,1.1,0.105,58.8
52.5,0.601,0.382,0.1,0.8,0,0.8,0.023,58.4
40.7,0.613,0.366,0.3,0.8,0.1,1,0.147,49.4
52.5,0.372,0.603,0.6,0.4,0.2,1.3,0.026,35.6
52.6,0.605,0.368,0.5,0.9,0,1.3,0.034,57.8
51.9,0.666,0.301,0.4,1.5,0.1,1.3,0.113,56.6
52.6,0.708,0.26,0.7,0.9,0.2,1.5,0.112,61.1
52.2,0.969,0.012,0.3,0.7,0,0.8,0.026,94.7
49.7,0.661,0.323,0.3,0.3,0,1.1,0.029,63.7
51.8,0.607,0.354,0.4,1.8,0.2,1.5,0.037,57.8
50.9,0.583,0.394,0.5,0.8,0.2,0.8,0.045,55
51.1,0.57,0.409,0.4,0.3,0,1.4,0.019,55.7
51.6,0.967,0.009,0.5,0.6,0,1.3,0.031,94
52.3,0.695,0.28,0.4,0.7,0,1.3,0.025,67.7
50.7,0.93,0.045,0.3,0.5,0.1,1.5,0.02,91.3
51.3,0.796,0.17,0.4,1.4,0.1,1.5,0.039,76.5
50.5,0.673,0.293,0.5,1.1,0.1,1.7,0.037,64.3
53.1,0.382,0.599,0.4,0.4,0,1.1,0.011,37.6
49.6,0.455,0.527,0.2,0.6,0,1,0.022,43.9
48.1,0.762,0.207,0.6,0.6,0.1,1.9,0.063,71
50,0.556,0.425,0.3,0.3,0,1.3,0.037,52.8
34.8,0.602,0.384,0.2,0.3,0.1,0.9,0.054,55.8
51,0.949,0.024,0.6,0.6,0,1.5,0.029,92.3
50.3,0.908,0.044,1.4,1.6,0.2,1.6,0.333,60.1
41.1,0.622,0.357,0.3,0.7,0,1.1,0.041,58.7
52.2,0.549,0.426,0.2,0.8,0,1.6,0.039,51.7
51.9,0.59,0.386,0.4,0.5,0,1.5,0.027,56.8
52,0.692,0.289,0.4,0.5,0.1,1,0.021,67.6
50,0.343,0.009,0.6,22,12.7,29.4,0.123,30.6
49.2,0.231,0.031,0.4,42.4,9.4,21.6,0.095,19.6
49.9,0.337,0.007,0.6,31.3,9.1,24.6,0.108,30.1
49.7,0.359,0.009,0.6,28.7,10.7,23.2,0.11,31.3
50.9,0.982,0.004,0.2,0.5,0,0.8,0.017,96.8
49.9,0.978,0.004,0.4,0.6,0,0.7,0.011,96.9
48.8,0.964,0.014,0.6,0.5,0.3,0.9,0.057,91.5
50.6,0.974,0.007,0.3,0.4,0.1,1.2,0.015,96.2
51.6,0.982,0.004,0.2,0.5,0,0.7,0.011,97.3
50.3,0.979,0.006,0.2,0.3,0,1,0.013,96.7
51.1,0.862,0.09,0.3,2,0.2,2.2,0.042,82.7
49.7,0.968,0.012,0.4,0.5,0,1.1,0.024,94.6
50.8,0.97,0.01,0.1,0.9,0,1,0.014,95.8
50.2,0.978,0.005,0.2,0.4,0,1,0.014,96.6
49.4,0.859,0.029,0.6,8.4,0.9,1.2,0.248,62.6
50.5,0.981,0.003,0.1,0.4,0,0.9,0.011,97.1
48.6,0.964,0.019,0.4,0.3,0,0.9,0.02,94.6
51.4,0.975,0.008,0.3,0.5,0,0.9,0.023,95.5
50.7,0.976,0.005,0.5,0.3,0.4,0.8,0.024,95.7
50.5,0.974,0.005,0.2,0.7,0,1.1,0.018,95.9
51,0.957,0.014,0.3,1.1,0,1.5,0.043,91.6
50.4,0.97,0.009,0.3,0.6,0.2,1,0.032,94.2
50,0.983,0.006,0.1,0.3,0,0.7,0.023,96.2
49.8,0.964,0.009,0.7,0.7,0.1,1.3,0.121,85.2
50.9,0.973,0.007,0.3,0.7,0,1,0.032,94.3
49.7,0.979,0.007,0.1,0.3,0.1,0.8,0.019,96.2
50.9,0.94,0.032,0.3,0.6,0,1.8,0.029,91.5
49,0.938,0.023,1.2,1.7,0.2,0.8,0.273,68.5
51,0.927,0.018,0.4,3.6,0.1,1.4,0.063,87
50.6,0.983,0.002,0.2,0.3,0,0.9,0.012,97.2
49.8,0.953,0.02,0.5,0.9,0.2,1.2,0.026,93
50,0.984,0.004,0.1,0.3,0,0.7,0.011,97.4
50.9,0.904,0.059,0.3,0.9,0.1,2.5,0.029,88
50.2,0.979,0.004,0.3,0.6,0,0.9,0.017,96.4
50.6,0.937,0.03,0.2,1.4,0.3,1.4,0.022,91.9
49.3,0.938,0.01,1.5,0.6,0.1,3,0.104,86.9
49.9,0.966,0.012,0.2,0.8,0.1,1.1,0.022,94.6
50.9,0.95,0.02,0.3,1.7,0.1,0.9,0.023,93.1
49.8,0.967,0.009,0.5,0.7,0.1,1.2,0.118,86.2
50.6,0.976,0.007,0.2,0.3,0,1.1,0.026,95.3
51.1,0.974,0.006,0.4,0.4,0,1.2,0.029,94.8
50.9,0.983,0.005,0.1,0.3,0.1,0.8,0.012,97.1
50.2,0.98,0.003,0.3,0.4,0,1,0.023,95.8
50.7,0.954,0.008,0.4,2.1,0,1.3,0.054,90.6
49.8,0.975,0.007,0.3,0.5,0,1,0.035,94.1
50,0.963,0.015,0.3,0.6,0,1.3,0.041,92.6
50.3,0.979,0.004,0.3,0.4,0,1,0.014,96.7
48.8,0.924,0.026,0.3,2.9,0.1,1.6,0.047,88.2
50.2,0.978,0.008,0.2,0.3,0.1,0.9,0.014,96.5
51,0.977,0.007,0.2,0.4,0,1,0.04,94.1
50.1,0.978,0.004,0.4,0.4,0,1,0.02,95.8
50.5,0.979,0.007,0.2,0.4,0,0.8,0.025,95.7
50.3,0.969,0.006,0.3,0.4,0.7,1.1,0.013,95.8
49,0.96,0.019,0.4,0.6,0,1,0.019,94.3
46.1,0.856,0.019,0.3,10.8,0.1,1.5,0.029,83.1
50.2,0.854,0.059,0.3,6,0,2.4,0.055,80.6
48.1,0.962,0.023,0.3,0.6,0,0.7,0.016,94.7
49.8,0.983,0.005,0.2,0.2,0,0.8,0.016,96.8
49.8,0.977,0.006,0.3,0.5,0,0.8,0.02,96.1
50.1,0.94,0.031,0.3,0.6,0,2,0.034,91
50.6,0.906,0.045,0.3,2.2,0.1,2.4,0.029,88.1
49.3,0.951,0.01,0.5,2.1,0.2,1.2,0.162,79.8
49.6,0.985,0.003,0.2,0.3,0,0.7,0.013,97.3
49.8,0.983,0.003,0.3,0.3,0.1,0.7,0.027,95.9
50.2,0.976,0.005,0.4,0.5,0,1,0.015,96.4
49.6,0.959,0.013,0.4,1.2,0,1.1,0.019,94.3
50.1,0.963,0.01,0.2,1.4,0,1,0.019,94.7
49.5,0.924,0.02,0.8,2.8,0.2,1.8,0.199,73.9
49.9,0.969,0.006,0.5,0.7,0.1,1.3,0.026,94.5
50.5,0.983,0.006,0.1,0.3,0,0.7,0.012,97.2
50.6,0.97,0.005,1.1,0.3,0.1,1,0.02,95.2
49.8,0.973,0.006,0.1,0.8,0,1.2,0.024,95.2
51.1,0.977,0.004,0.5,0.4,0,1,0.035,94.5
50.2,0.946,0.022,0.6,1.1,0,1.4,0.172,78.5
49.8,0.971,0.009,0.2,0.7,0,0.9,0.045,93.3
49.4,0.975,0.004,0.4,0.6,0.1,1,0.068,91.3
47.8,0.942,0.024,0.7,1.2,0.1,1.4,0.029,91.7
50.3,0.97,0.009,0.4,0.5,0.1,1.1,0.021,95.2
50.3,0.972,0.005,0.5,0.6,0.1,1,0.041,93.6
50.2,0.969,0.009,0.5,0.2,0.2,1.2,0.034,94
50.8,0.865,0.067,0.4,4.2,0.1,2.2,0.08,79.2
50.9,0.952,0.016,0.7,0.8,0.1,1.7,0.072,88.7
51.1,0.948,0.014,0.3,1.8,0.1,1.5,0.03,92.2
50.8,0.981,0.004,0.3,0.4,0.1,0.8,0.02,96.4
50.9,0.982,0.003,0.2,0.4,0.1,0.9,0.028,95.7
51,0.867,0.075,0.4,2.5,0.1,2.8,0.063,81.3
50.8,0.977,0.005,0.4,0.4,0.1,0.8,0.023,95.6
49.8,0.966,0.01,0.5,1.1,0,0.7,0.098,87.9
48.1,0.882,0.028,0.3,7,0,1.7,0.031,85.5
50.9,0.883,0.006,8,0.4,0.1,2.6,0.084,82.7
49.3,0.982,0.004,0.3,0.3,0.1,0.8,0.075,91
51.3,0.971,0.01,0.3,0.6,0,1,0.028,94.6
49.2,0.981,0.003,0.2,0.5,0,0.9,0.013,96.9
50.6,0.944,0.022,0.8,0.9,0.2,1.3,0.1,85.4
50.8,0.972,0.007,0.3,0.6,0.1,1.1,0.025,94.9
50.8,0.969,0.009,0.3,0.5,0.1,1.2,0.056,91.7
51.6,0.976,0.007,0.3,0.4,0,1,0.017,96.2
48.2,0.927,0.042,0.4,0.9,0,1.8,0.043,88.8
51.4,0.96,0.014,0.3,1,0,1.3,0.039,92.5
50.5,0.97,0.008,0.1,1.2,0,0.8,0.021,95.2
50.5,0.889,0.028,2.6,2.7,0.2,2.8,0.152,75.7
50.2,0.973,0.009,0.3,0.5,0,1,0.027,95
49.6,0.972,0.008,0.4,0.4,0.1,1.1,0.102,87.7
49.9,0.924,0.013,0.8,2.6,0.2,2.7,0.077,85.5
48.5,0.964,0.002,1,0.5,0.1,1.8,0.032,93.6
50.2,0.916,0.009,3.7,1.4,0.3,2.2,0.08,85
50.3,0.974,0.003,0.9,0.5,0,1,0.042,93.7
49.5,0.866,0.004,8.5,0.4,0.1,4.1,0.033,84.5
49.8,0.894,0.005,7.5,0.7,0.2,1.8,0.178,74.4
49.2,0.955,0.003,1.5,1,0.2,1.4,0.207,76.9
48.4,0.953,0.005,1.3,0.5,0.4,2.1,0.036,92.3
50,0.959,0.003,0.9,0.7,0.1,2.2,0.029,93.4
50.4,0.949,0.007,1.1,1,0.1,2.1,0.125,83.8
49.4,0.945,0.005,2.2,0.7,0.1,2,0.042,91
49.5,0.961,0.002,1,0.3,0.2,2.3,0.058,90.6
48.8,0.941,0.005,1.3,0.5,0.1,3.5,0.075,87.3
50.6,0.937,0.008,1.7,1,0.3,2.5,0.246,71.3
49.8,0.971,0.002,0.6,0.6,0.2,1.2,0.053,92.2
49.3,0.953,0.006,1.6,0.7,0.1,1.6,0.266,71
47.3,0.935,0.008,2.2,1,0,2.4,0.426,54
45.2,0.944,0.005,2.2,0.6,0.1,2.1,0.036,91.3
48.7,0.971,0.002,0.7,0.4,0.1,1.5,0.041,93.2
47.8,0.886,0.032,1.6,2.8,0.4,3.4,0.162,74.1
49.3,0.972,0.003,0.8,0.2,0.1,1.5,0.069,91.1
47.8,0.962,0.008,1.1,0.3,0.1,1.4,0.124,85.2
50.3,0.95,0.002,0.9,1.4,0.1,2.4,0.082,87.6
48.7,0.948,0.005,1.8,0.9,0.2,1.8,0.286,68.6
47.8,0.94,0.004,3,0.5,0.1,2.1,0.031,91.5
49.7,0.96,0.004,1.3,0.5,0.2,1.6,0.103,87.2
49.3,0.948,0.006,2.4,0.5,0.2,1.5,0.34,63.4
50.6,0.947,0.004,1.4,0.9,0.2,2.4,0.043,91.1
48.5,0.933,0.011,0.9,1.9,0.2,2.7,0.041,89.8
49.3,0.958,0.005,1.2,0.6,0,2,0.031,93.3
49.8,0.9,0.004,6,0.5,0.2,2.8,0.04,86.8
48.5,0.956,0.005,1.7,0.5,0.2,1.6,0.302,66.8
49.7,0.956,0.007,0.5,1.1,0.4,1.8,0.07,89.4
49.4,0.945,0.008,2.2,0.6,0,1.9,0.337,63.6
50.5,0.901,0.005,5.8,0.9,0.1,2.5,0.037,87.4
50.4,0.974,0.003,0.5,0.6,0.1,1.1,0.041,93.7
49.1,0.917,0.008,4.5,0.7,0.2,2,0.265,68.2
50.5,0.944,0.004,1.6,1,0.1,2.5,0.167,79.2
49.1,0.929,0.01,3.1,0.5,0.1,2.4,0.311,64.3
49.5,0.949,0.003,1.8,0.5,0.2,2.3,0.034,92.1
48.2,0.97,0.004,0.7,0.5,0.2,1.2,0.177,80.4
50.7,0.945,0.007,1.3,1.4,0.2,1.8,0.152,80.8
48.1,0.965,0.002,1.1,0.5,0.1,1.6,0.044,92.9
50.1,0.949,0.004,1.5,1,0.2,2,0.172,79.2
51.1,0.936,0.037,0.2,0.8,0,1.7,0.014,92.4
49.7,0.603,0.366,0.5,0.3,0.1,2.2,0.021,58.8
47.3,0.908,0.065,0.6,0.8,0,1.3,0.035,87.8
50.2,0.931,0.027,0.6,1.4,0.1,2.1,0.206,74.4
35.6,0.785,0.192,1.2,0.3,0,0.7,0.062,74
51,0.966,0.009,0.4,0.9,0,1.1,0.086,88.7
49.9,0.988,0.003,0.2,0.3,0,0.4,0.011,97.7
50,0.966,0.011,0.4,0.6,0,1.3,0.034,93.6
49.3,0.935,0.038,0.8,0.6,0.1,1.2,0.189,76.5
50.1,0.738,0.128,0.3,10.2,0.1,2.7,0.057,69.1
49.1,0.965,0.016,0.2,0.7,0,1,0.016,95.1
50.8,0.981,0.005,0.2,0.3,0,0.8,0.014,96.8
50.7,0.976,0.005,0.2,0.7,0,0.9,0.015,96.3
48.2,0.943,0.037,0.4,0.5,0.1,1.1,0.031,91.6
51.7,0.93,0.041,0.3,1,0,1.6,0.023,91.1
51.5,0.658,0.244,0.8,7.2,0.1,1.8,0.25,43
48.4,0.931,0.049,0.4,0.6,0,1,0.022,91.3
49.9,0.976,0.005,0.1,0.7,0,1.1,0.01,96.7
50.5,0.874,0.076,0.4,2.8,0.1,1.8,0.109,77.6
50.1,0.972,0.008,0.2,0.5,0,1.2,0.023,95.1
50.4,0.972,0.006,0.3,0.7,0,1.1,0.073,90.4
51,0.811,0.052,0.4,11.4,0.1,1.8,0.141,68.1
51.5,0.982,0.005,0.2,0.2,0,0.8,0.01,97.3
51.1,0.977,0.006,0.2,0.4,0,1,0.012,96.9
50.2,0.98,0.005,0.2,0.5,0,0.8,0.019,96.4
46.9,0.936,0.047,0.2,0.4,0,1.1,0.017,92.2
50.5,0.972,0.01,0.3,0.4,0,1,0.029,94.6
50.9,0.974,0.005,0.4,0.4,0,1.2,0.016,96.1
47.8,0.942,0.039,0.6,0.4,0,0.9,0.027,92.2
51.5,0.973,0.008,0.3,0.1,0,1.5,0.019,95.4
49.7,0.978,0.011,0.2,0.1,0,0.7,0.01,96.9
50.1,0.96,0.015,0.4,0.8,0,1.2,0.093,87.4
51,0.979,0.006,0.3,0.2,0,0.9,0.016,96.6
50.6,0.98,0.004,0.3,0.3,0.1,0.9,0.015,96.7
49.4,0.967,0.007,0.7,0.7,0.1,1,0.016,95.2
51,0.978,0.004,0.3,0.3,0.1,1.1,0.015,96.5
50.2,0.959,0.019,0.3,0.5,0,1.4,0.054,91
51.1,0.967,0.011,0.3,0.6,0,1.3,0.065,90.6
49.8,0.777,0.149,0.5,3.9,0.1,2.9,0.042,74.5
50,0.984,0.003,0.2,0.3,0,0.8,0.014,97.1
48.6,0.879,0.089,0.3,1.1,0,1.7,0.023,86.1
51.3,0.973,0.007,0.3,0.5,0,1.2,0.013,96.3
49.8,0.977,0.006,0.2,0.5,0,0.9,0.031,94.8
44.3,0.899,0.085,0.3,0.3,0,1,0.033,87.2
50.2,0.87,0.061,1,4,0.1,1.8,0.313,58.1
50.9,0.812,0.155,0.4,1.1,0,1.8,0.099,72.3
50.6,0.876,0.067,0.5,3.3,0,1.9,0.169,71.9
49.7,0.883,0.08,0.4,0.9,0,2.4,0.056,83.7
50.1,0.823,0.075,0.9,7.2,0.1,2,0.21,63.3
49.8,0.952,0.023,0.3,0.9,0,1.2,0.089,86.9
44,0.881,0.101,0.3,0.4,0,1,0.037,85
47.2,0.921,0.053,0.3,0.9,0,1.3,0.058,87
49.6,0.922,0.055,0.3,0.7,0,1.3,0.045,88.2
49.4,0.893,0.081,0.3,0.8,0,1.4,0.034,86.6
52.2,0.789,0.171,0.3,1.2,0,2.6,0.021,77.2
50.6,0.972,0.011,0.3,0.4,0,1,0.01,96.3
51.1,0.885,0.083,0.3,0.9,0.1,1.9,0.031,85.7
51.1,0.933,0.041,0.3,0.6,0,1.6,0.018,91.8
50.7,0.975,0.005,0.3,0.8,0,0.9,0.033,94.6
50.4,0.976,0.005,0.3,0.4,0,1.2,0.011,96.6
52.4,0.913,0.058,0.4,0.4,0,2.1,0.026,89
50.5,0.903,0.054,0.3,2.2,0,1.8,0.027,88.1
50.1,0.938,0.014,0.5,2.8,0.1,1.4,0.124,82.2
51.3,0.844,0.077,0.3,5.3,0,2.2,0.048,80.3
51.3,0.97,0.012,0.3,0.3,0,1.2,0.014,95.8
50.6,0.981,0.006,0.1,0.3,0,0.8,0.021,96.2
50.3,0.98,0.004,0.2,0.5,0,0.8,0.016,96.6
47.7,0.952,0.034,0.2,0.4,0,0.8,0.017,93.6
49.4,0.91,0.064,0.3,0.5,0,1.7,0.023,89.1
51,0.982,0.005,0.2,0.3,0,0.8,0.013,97.1
50.3,0.967,0.011,0.4,0.6,0.1,1.2,0.096,87.7
51.6,0.749,0.181,0.4,3.7,0,2.9,0.046,71.2
45.6,0.886,0.088,0.4,0.5,0.1,1.7,0.031,86.1
50.3,0.976,0.006,0.2,0.5,0,1.1,0.011,96.7
49.9,0.967,0.019,0.2,0.3,0,0.9,0.012,95.6
47.1,0.912,0.067,0.7,0.3,0,1,0.019,89.6
51.9,0.647,0.323,0.5,0.2,0.1,2.2,0.019,63.6
49.1,0.976,0.009,0.3,0.3,0,1,0.047,93.1
45,0.881,0.101,0.2,0.4,0.1,1,0.028,85.8
50.6,0.972,0.006,0.2,0.8,0,1.1,0.015,95.9
50.8,0.847,0.098,0.6,2.3,0.1,2.6,0.124,73.7
50.7,0.929,0.041,0.4,0.6,0.1,1.9,0.017,91.7
52,0.832,0.124,0.2,1.9,0,2.3,0.022,81.4
47.3,0.954,0.035,0.2,0.4,0,0.6,0.018,93.9
51.9,0.981,0.005,0.2,0.2,0,1,0.012,97
50.6,0.984,0.004,0.2,0.3,0,0.7,0.01,97.4
51.8,0.657,0.302,0.3,1.4,0.1,2.2,0.038,62.5
50.7,0.975,0.006,0.2,0.4,0,1.2,0.011,96.5
51.6,0.868,0.096,0.2,0.7,0,2.6,0.035,83.8
50.6,0.962,0.013,0.3,0.9,0,1.3,0.022,94.2
50.1,0.963,0.011,0.7,0.4,0,1.5,0.051,91.8
50.3,0.831,0.135,0.4,0.8,0,2.2,0.047,79.3
50.6,0.967,0.009,0.2,0.8,0,1.3,0.015,95.5
51.2,0.937,0.024,0.5,1.8,0.1,1.5,0.094,85.1
49.9,0.977,0.008,0.1,0.4,0.1,0.9,0.016,96.2
50.7,0.976,0.006,0.2,0.7,0,0.9,0.013,96.4
51.4,0.979,0.006,0.3,0.3,0,0.8,0.013,96.9
50.7,0.956,0.017,0.4,0.5,0,1.6,0.118,84.9
50.4,0.806,0.118,0.4,5.4,0.1,1.8,0.166,65.3
50.3,0.927,0.043,0.4,1,0,1.6,0.024,90.7
51.2,0.814,0.129,0.5,2.6,0,2.6,0.12,70.8
50.4,0.973,0.007,0.3,0.7,0,1.1,0.018,95.7
50.5,0.982,0.004,0.3,0.3,0,0.7,0.044,94.1
51.2,0.809,0.121,0.5,3.5,0.1,2.8,0.072,74.9
50.1,0.902,0.023,0.5,5.4,0.1,1.5,0.064,84.6
50.3,0.976,0.01,0.2,0.3,0,1,0.054,92.6
50.4,0.973,0.006,0.2,0.3,0,1.4,0.016,95.9
50.5,0.944,0.015,0.3,2.3,0,1.4,0.026,92.1
50.2,0.973,0.006,0.4,0.4,0,1.3,0.016,95.9
50.3,0.977,0.006,0.3,0.2,0,1.1,0.041,94.3
50,0.937,0.02,1,1.7,0.2,1.4,0.138,81.8
50.9,0.889,0.074,0.4,1,0.1,2.2,0.052,84.3
50.8,0.977,0.006,0.3,0.4,0,1,0.013,96.5
50.5,0.978,0.006,0.4,0.3,0,0.9,0.149,83.4
49.3,0.977,0.005,0.4,0.2,0.1,1.1,0.014,96.5
50.2,0.969,0.01,0.4,0.7,0.1,0.9,0.046,92.7
50.2,0.974,0.007,0.2,0.5,0.1,1.1,0.012,96.4
50.6,0.97,0.005,0.2,1.3,0,0.9,0.018,95.5
50.2,0.975,0.005,0.3,0.6,0,1,0.027,95.1
51.9,0.892,0.071,0.3,1.2,0.1,2.1,0.021,87.4
50.6,0.979,0.005,0.3,0.5,0.1,0.7,0.067,91.8
50.5,0.897,0.062,0.6,1.2,0.1,2.3,0.151,75.9
50.5,0.969,0.016,0.2,0.3,0,1,0.009,96
51.4,0.911,0.055,0.3,1.1,0,2,0.029,88.7
50.2,0.977,0.004,0.4,0.3,0.1,1.1,0.026,95.4
49.8,0.981,0.004,0.2,0.6,0,0.7,0.011,97.1
50,0.965,0.008,0.8,0.6,0,1.2,0.051,92.2
50.1,0.954,0.021,0.3,0.4,0,1.8,0.016,94.1
52.2,0.891,0.073,0.4,0.8,0,2.4,0.04,85.6
50.1,0.979,0.003,0.4,0.4,0,1,0.013,96.8
51.2,0.882,0.041,0.2,5.6,0.1,1.8,0.038,84.9
50.9,0.952,0.023,0.3,0.9,0,1.3,0.021,93.4
50.1,0.975,0.006,0.3,0.4,0,1.1,0.018,96
50.2,0.894,0.06,0.3,2.5,0.1,1.7,0.035,86.4
48.3,0.954,0.027,0.2,0.4,0,1.4,0.016,93.9
51.7,0.886,0.073,0.4,1.1,0,2.6,0.031,86
50.8,0.972,0.006,0.5,0.6,0,1.1,0.021,95.4
50.2,0.959,0.01,0.3,1.3,0.2,1.2,0.064,90.1
50.2,0.973,0.009,0.3,0.4,0.1,1,0.059,91.7
50.7,0.981,0.004,0.2,0.5,0,0.9,0.03,95.3
