SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214
50.5,0.952,0.009,1.3,0.9,0.1,1.6,0.03,92.5
50.5,0.968,0.006,0.7,0.3,0,1.6,0.012,95.8
51.7,0.877,0.085,0.7,0.8,0.1,2.3,0.053,82.9
50.3,0.948,0.028,0.5,0.4,0,1.4,0.026,92.7
50.8,0.969,0.009,0.5,0.3,0,1.4,0.027,94.5
51.6,0.668,0.299,0.7,0.5,0.1,1.9,0.126,55.3
48.1,0.856,0.116,0.6,0.4,0.1,1.8,0.033,82.7
51.3,0.758,0.209,1,0.7,0.1,1.4,0.11,65.7
51.3,0.945,0.023,0.7,0.8,0.2,1.5,0.059,89.3
47.6,0.954,0.018,1.1,0.3,0,1.4,0.019,93.8
50.3,0.796,0.176,0.7,0.4,0.1,1.6,0.029,77.1
50.8,0.417,0.555,0.4,0.9,0.1,1.3,0.019,40.3
50.3,0.934,0.021,1.2,1.2,0.1,1.9,0.135,81.1
51.7,0.611,0.371,0.4,0.5,0,1,0.02,59.7
50.5,0.971,0.01,0.5,0.2,0,1.2,0.013,96
44,0.431,0.542,0.6,0.5,0,1.6,0.027,41
38.9,0.677,0.303,0.4,0.3,0,1.2,0.036,64.8
50.9,0.757,0.197,1.9,0.4,0,2.2,0.031,73.3
50.2,0.937,0.015,1.2,1.9,0,1.7,0.027,91.4
50.5,0.904,0.062,0.7,0.9,0.1,1.8,0.04,86.8
49.9,0.952,0.004,1.7,0.8,0.4,1.6,0.054,90.4
50.3,0.965,0.004,0.9,0.3,0.1,1.8,0.023,94.6
50.8,0.717,0.251,0.8,0.6,0.1,1.8,0.031,69.3
51.3,0.628,0.349,0.5,0.5,0,1.3,0.04,59.4
52.5,0.567,0.403,0.7,0.6,0,1.7,0.022,55.1
50.1,0.951,0.006,1.3,0.7,0,2.3,0.036,92.3
50.6,0.671,0.305,0.5,0.4,0.1,1.6,0.033,64.1
49.5,0.955,0.003,1.5,0.3,0,2.4,0.018,94
52.6,0.57,0.403,0.4,0.5,0.1,1.8,0.022,55.4
50.3,0.948,0.022,0.8,0.2,0,2,0.028,92.4
53,0.365,0.616,0.4,0.4,0,1.2,0.017,35.6
50.2,0.933,0.035,1.1,0.7,0,1.5,0.066,87.6
51.4,0.898,0.08,0.3,0.3,0,1.6,0.027,87.5
50.8,0.945,0.005,2,0.6,0,2.4,0.064,88.6
50.1,0.924,0.032,1,1.2,0.1,2.1,0.084,84.8
50.6,0.867,0.117,0.4,0.1,0,1,0.012,85.7
52,0.592,0.36,0.5,2.2,0.1,2,0.06,54
50.9,0.968,0.009,0.5,0.4,0,1.3,0.019,95.2
51,0.903,0.066,0.6,1.1,0.1,1.4,0.042,86.6
49.6,0.911,0.007,2.3,3.8,0,2.1,0.076,84.3
49.6,0.955,0.003,1.4,0.2,0,2.5,0.021,93.7
51,0.829,0.068,2.3,4.5,0.3,3.4,0.134,71.1
50.3,0.89,0.045,3.3,0.5,0.3,2.4,0.327,58.6
50.6,0.959,0.008,1,0.4,0,1.9,0.021,94
45.1,0.445,0.527,0.7,0.6,0,1.5,0.044,41.1
50.4,0.966,0.004,0.8,0.4,0,1.8,0.018,95
51.4,0.644,0.326,0.6,0.8,0.1,1.5,0.036,61.5
50.3,0.963,0.005,0.9,0.4,0,1.9,0.031,93.5
49.9,0.873,0.035,1.5,2.6,2.5,2.6,0.162,72.2
51.1,0.922,0.046,0.7,0.7,0.1,1.9,0.042,88.4
52,0.707,0.269,0.3,0.2,0.1,1.7,0.015,69.5
50.2,0.939,0.021,1,1.6,0.1,1.4,0.189,76.1
50.6,0.234,0.009,73.5,0.4,0.1,1.8,0.064,19
49.2,0.879,0.047,1.7,2.2,0.4,3.1,0.346,56.1
50.6,0.664,0.016,27.3,1.8,0.2,2.8,0.139,54.9
50.4,0.802,0.009,16.5,0.8,0.1,1.6,0.188,63.2
46.5,0.811,0.021,14,0.7,0.2,1.8,0.321,51.4
47.7,0.915,0.018,3.3,0.8,0.2,2.3,0.466,47.8
