votes_dem_2016,votes_gop_2016,total_votes_2016,AGE135214,AGE295214,age65plus,SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214,POP715213,POP645213,NonEnglish,Edu_highschool,Edu_batchelors,VET605213,Income,INC110213,Poverty,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,Density
417,2173,2748,6,25.9,15,49.6,0.971,0.009,0.7,0.1,0,1.2,0.048,92.9,88.4,1.6,3.8,91.8,17.7,317,23131,51493,8.5,108,0,0,472,596,0,0,0,0,0,0,0,0,33003,5201,1630,22,427.95,14.3
490,1993,2613,5.2,21.9,24.7,51.1,0.978,0.004,0.2,0.3,0,1.1,0.022,95.7,89.7,0.9,2,91.4,16.3,477,26965,44422,13.4,208,1962,8.7,419,532,0,0,0,0,0,0,0,98568,54943,10654,1858,9,573.81,9.1
30,344,387,8.3,23.3,19.8,47,0.985,0.001,0.4,0.3,0,0.6,0.017,96.8,95,3.3,3,94.5,22.7,73,30116,55089,7.7,21,143,-9.5,82,0,0,0,0,0,0,0,0,0,0,0,987,0,713.24,0.9
911,1013,2029,10.1,35.6,12.1,50.6,0.403,0.006,56.4,0.3,0,2.3,0.045,38.4,89.4,1,7.3,86.3,15.8,400,17106,41400,26.9,122,1282,-8.8,294,302,0,0,0,0,0,0,0,114984,54072,7443,0,2,393.58,17.6
337,1770,2172,5.4,23,23.9,50.2,0.985,0.002,0.1,0.3,0,0.9,0.022,96.4,90,1.6,4.2,93.9,17.8,383,23227,40445,15.2,182,1403,7.9,409,439,0,0,0,0,0,0,0,48396,66843,15780,2656,11,568.05,7.5
2606,7374,10584,5.4,23.8,16,50,0.974,0.008,0.3,0.3,0.1,1.2,0.025,95.2,87.9,1,1.9,95,28.9,1809,29328,65409,7.7,559,6263,-4.9,1521,2164,0,0,0,0,0,22.1,724196,211443,642646,32377,12507,71,389.96,51.9
828,2675,3740,5.7,19.5,14.1,49.2,0.953,0.019,0.7,0.6,0.1,1.3,0.056,90.4,77.3,3.5,5.5,94,33.1,802,24448,52147,15,252,3178,2.4,587,838,0,0,0,0,0,0,180043,51935,79455,8580,9314,35,442.92,21.7
306,1320,1687,5.8,21.7,23,51.3,0.965,0.007,0.2,0.2,0.4,2,0.046,92.1,87.6,1.7,2.4,91.1,17.2,330,21423,41045,15.5,89,657,-1.1,294,523,0,0,0,0,0,0,0,58861,23738,6642,0,4,574.91,6.6
62,377,459,6.4,20.1,21.9,49.3,0.988,0,0.1,0.5,0,0.5,0.009,97.9,95.2,1.6,0,95.2,17.5,71,25898,38807,16,21,100,9.9,96,27,0,0,0,0,0,0,0,0,0,0,0,0,575.18,1.4
1181,4686,6256,6.6,22.6,18.5,51.3,0.957,0.016,0.7,0.6,0.1,1.3,0.049,91.3,81.6,1.6,5,94.2,24.9,1185,28207,49633,8.9,515,5939,-1.8,1024,1509,0,0,0,0,0,25.6,353197,239094,241319,16968,28903,16,572.51,23.9
13517,19315,34462,4.7,19.5,19.9,50.8,0.964,0.008,0.3,1.2,0,1.4,0.016,95,89.3,3.2,3.9,90.6,28,6380,30518,58654,9.9,1763,20289,-0.3,5524,7187,0,0,0.8,0,0,23.7,687068,0,1348651,22099,151572,198,400.23,150.1
12987,14635,29063,3.8,16.8,24.5,50.4,0.973,0.005,0.3,0.7,0,1.2,0.014,96.1,89.1,3,2.9,91.9,31.2,5757,31558,50866,10.1,1834,16624,-0.9,5384,7392,0,0,0.9,0,0.4,19.6,213380,0,889015,18569,214906,197,931.06,51.4
22064,16876,41080,4.7,18.6,17.3,51.1,0.959,0.008,0.3,1.4,0,1.5,0.017,94.5,82.8,2.8,3.2,91.4,30.4,7261,27874,55155,11.4,1905,27313,-2.6,5837,8144,0,0,0,0,0.6,22.6,1095187,0,1649001,21293,110289,141,706.66,109.1
6558,7951,15255,4.2,17.7,21.8,49,0.969,0.007,0.5,0.6,0,1.4,0.017,95.4,86.6,3.2,12.9,85.5,17.3,3650,24367,41985,13.4,854,9065,-2.2,2227,3470,0,0,0,0,0,0,295901,0,602906,18656,85674,56,1794.69,18.4
28510,19010,50065,4.3,17.2,18,50.7,0.931,0.011,0.4,3.5,0,1.9,0.022,91.2,84.2,5.8,7.1,91.6,37.7,7786,30738,54912,11.2,2867,47625,1.2,7890,11174,0,0,0,0,0.3,24,1314279,0,1961272,22919,272818,187,1708.75,52.2
99589,100013,210622,5.4,21.7,13.9,50.4,0.914,0.026,0.3,3.8,0.1,1.8,0.06,86.4,86.6,8.5,12.9,90.8,35,30692,34390,69829,8.6,10764,173304,1.7,27576,37748,0.9,0,2.7,0.1,2,26.3,7707601,3873122,7647259,18989,732310,968,876.14,457.4
40198,37674,81982,4.8,19.9,16.1,50.7,0.95,0.014,0.3,1.9,0,1.4,0.019,93.4,86.7,3.9,5.2,92.1,33.3,12976,31310,65353,8.7,4031,60018,-0.9,10928,15444,0,0,1.2,0,0.9,24.6,1539636,2812352,2605617,17536,223534,312,934.12,156.8
79994,90447,179005,4.6,20.6,15.2,50.5,0.955,0.009,0.2,1.9,0,1.4,0.026,93.3,89.6,4.5,6.5,94.5,37.2,23377,38399,77348,5.5,9422,128330,0.8,25514,34778,0.5,0,1.5,0,0.9,27.8,3912579,5844817,6414862,21603,660746,875,694.72,425
